342,13.3,कृत्,कृत्{नपुं;1;एक},"కలిగించును,చెరచును",
343,14.1,(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},ఔతుంది,
344,15.1,.,-,,
345,2.1,लघु,लघु{नपुं;1;एक},"లఘు, తేలికగా జీర్ణమగు",
346,3.1,च,च{अव्य},మరియు,
347,4.1,तोयम्,तोय{नपुं;1;एक},"నీరు,జలం",
348,5.1,क्वथित-,क्वथित(क्वथ्1;क्त;भ्वादिः),"కాచి, వేడి చేసి",
349,5.2,शीतलम्,शीतल{नपुं;1;एक},చల్లార్చినది,
350,6.1,पित्त-,पित्त,పిత్తముతో,
351,6.2,युक्ते,युक्त{नपुं;7;एक(युज्1;क्त;दिवादिः)},కలిసిన,
352,7.1,हितम्,हित{नपुं;1;एक(धा1;क्त;जुहोत्यादिः)},హితకరము,
353,8.1,दोषे,दोष{पुं;7;एक},దోషములో,
354,9.1,(च),च{अव्य},మరియు,
355,1.1,नारिकेल-,नारिकेल,కొబ్బరి,
356,1.2,उदकम्,उदक{नपुं;1;एक},నీరు,
357,10.1,(च),च{अव्य},మరియు,
358,11.1,(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},ఔతుంది,
359,12.1,.,-,,
360,2.1,स्निग्धम्,स्निग्ध{नपुं;1;एक(ष्निह्1;क्त;दिवादिः)}/,స్నిగ్థముగ,
361,3.1,स्वादु,स्वादु{नपुं;1;एक},తీయగా,
362,4.1,वृष्यम्,वृष्य{नपुं;1;एक(वृष्1;यत्;भ्वादिः)},"వృష్యము, శుక్ర వృద్ధికరము",
363,5.1,हिमम्,हिम{नपुं;1;एक},చలువ చేయును,
364,6.1,लघु,लघु{नपुं;1;एक},"లఘు, తేలికగా జీర్ణమగు",
365,7.1,तृष्णा-,तृष्णा,దాహము,
366,7.2,पित्त-,पित्त,పిత్తము,
367,7.3,अनिल-,अनिल,వాతమును,
368,7.4,हरम्,हर{नपुं;1;एक},హరించును,
369,8.1,दीपनम्,दीपन{नपुं;1;एक(दीप्1;ल्युट्;दिवादिः)},అగ్ని ని పెంచును,
370,9.1,बस्ति-,बस्ति,వస్తి/ మూత్ర,
371,9.2,शोधनम्,शोधन{नपुं;1;एक(शुध्1;ल्युट्;दिवादिः)},శోధనము,
372,1.1,वर्षासु,वर्षा{स्त्री;7;बहु},వర్షాకాలములో,
373,2.1,दिव्य-,दिव्य,ఆకాశ-(ఉదకము),
374,2.2,नादेये,नादेय{नपुं;1;द्वि},నదీ జలము,
375,3.1,परम्,परम्{अव्य},"అత్యంత, మిక్కిలి",
376,4.1,तोये,तोय{नपुं;1;द्वि},నీరు,
377,5.1,वर-,वर,"శ్రేష్ఠము, హితకరము",
378,5.2,अवरे,अवर{नपुं;1;द्वि},నిందితము,
379,6.1,(भवतः),भू1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;भ्वादिः},ఔతాయి,
380,7.1,.,-,,
381,1.1,स्वादु-,स्वादु,మధుర,
382,1.2,पाक-,पाक,విపాకము,
383,1.3,रसम्,रस{नपुं;1;एक},రసము(రుచి),
384,10.1,प्रायः,प्रायः{अव्य},సాధారణంగా,
385,11.1,पयः,पयस्{नपुं;1;एक},పాలు,
386,12.1,(च),च{अव्य},మరియు,
